manual_interval_id,predicted_interval_id,window_index,channel_index,channel,manual_start_seconds_in_recording,manual_end_seconds_in_recording,predicted_start_seconds_in_recording,predicted_end_seconds_in_recording,manual_duration_seconds,predicted_duration_seconds,overlap_seconds,union_seconds,interval_iou,interval_dice,start_error_seconds,end_error_seconds,center_error_seconds,duration_error_seconds,predicted_mean_probability,predicted_max_probability
manual_ground_truth_w0133_c19_i000,m3_improved_prediction_w0133_c19_i009,133,19,FC3,665.0,667.088,665.968,666.852,2.088,0.8840000000000001,0.8840000000000146,2.0879999999999654,0.4233716475095925,0.5948855989232937,0.9679999999999609,0.23599999999999,0.36599999999998545,1.204,0.781287670135498,0.9797633290290833
manual_ground_truth_w0133_c20_i000,m3_improved_prediction_w0133_c20_i012,133,20,FC4,665.0,667.088,665.976,666.684,2.088,0.708,0.70799999999997,2.0879999999999654,0.3390804597701062,0.5064377682403218,0.9759999999999991,0.40399999999999636,0.2859999999999445,1.3800000000000001,0.8353912830352783,0.9964685440063477
manual_ground_truth_w0133_c21_i000,m3_improved_prediction_w0133_c21_i009,133,21,FC5,665.0,667.088,665.976,666.684,2.088,0.708,0.70799999999997,2.0879999999999654,0.3390804597701062,0.5064377682403218,0.9759999999999991,0.40399999999999636,0.2859999999999445,1.3800000000000001,0.8108611702919006,0.9651802182197571
manual_ground_truth_w0133_c22_i000,m3_improved_prediction_w0133_c22_i007,133,22,FC6,665.0,667.088,666.0,666.692,2.088,0.692,0.6920000000000073,2.0879999999999654,0.33141762452108176,0.49784172661871023,1.0,0.39599999999995816,0.3020000000000209,1.3960000000000001,0.821923553943634,0.9796758890151978
manual_ground_truth_w0133_c23_i000,m3_improved_prediction_w0133_c23_i009,133,23,FT7,665.0,667.088,665.968,666.824,2.088,0.8560000000000001,0.8559999999999945,2.0879999999999654,0.40996168582375897,0.581521739130431,0.9679999999999609,0.26400000000001,0.35199999999997544,1.232,0.7820081114768982,0.9715700745582581
manual_ground_truth_w0133_c24_i000,m3_improved_prediction_w0133_c24_i003,133,24,FT8,665.0,667.088,665.972,666.696,2.088,0.724,0.7240000000000464,2.0879999999999654,0.34674329501918505,0.514935988620232,0.97199999999998,0.39199999999993906,0.2900000000000773,1.364,0.805829644203186,0.9739421010017395
manual_ground_truth_w0133_c25_i000,m3_improved_prediction_w0133_c25_i003,133,25,Cz,665.0,667.088,665.952,666.676,2.088,0.724,0.7240000000000464,2.0879999999999654,0.34674329501918505,0.514935988620232,0.9519999999999982,0.4119999999999209,0.2700000000000955,1.364,0.7764862179756165,0.9523681402206421
manual_ground_truth_w0133_c26_i000,m3_improved_prediction_w0133_c26_i005,133,26,C1,665.0,667.088,665.768,666.656,2.088,0.8879999999999999,0.88799999999992,2.0879999999999654,0.4252873563218078,0.5967741935483333,0.7680000000000291,0.43200000000001637,0.16800000000000637,1.2000000000000002,0.7303401231765747,0.9767184853553772
manual_ground_truth_w0133_c27_i000,m3_improved_prediction_w0133_c27_i007,133,27,C2,665.0,667.088,665.768,666.7,2.088,0.9319999999999999,0.9320000000000164,2.0879999999999654,0.4463601532567202,0.6172185430463685,0.7680000000000291,0.38799999999991996,0.19000000000005457,1.1560000000000001,0.7491289973258972,0.9624794721603394
manual_ground_truth_w0133_c28_i000,m3_improved_prediction_w0133_c28_i011,133,28,C3,665.0,667.088,665.96,666.708,2.088,0.748,0.7479999999999336,2.0879999999999654,0.35823754789269446,0.527503526093042,0.9600000000000364,0.37999999999999545,0.2900000000000773,1.34,0.7903021574020386,0.9739221930503845
manual_ground_truth_w0133_c29_i000,m3_improved_prediction_w0133_c29_i004,133,29,C4,665.0,667.088,665.896,666.68,2.088,0.7839999999999999,0.7839999999999918,2.0879999999999654,0.3754789272030674,0.5459610027855096,0.8959999999999582,0.40800000000001546,0.2440000000000282,1.3040000000000003,0.7765599489212036,0.9624119997024536
manual_ground_truth_w0133_c30_i000,m3_improved_prediction_w0133_c30_i004,133,30,C5,665.0,667.088,665.928,666.648,2.088,0.7199999999999999,0.7200000000000273,2.0879999999999654,0.34482758620691534,0.5128205128205323,0.9279999999999973,0.4399999999999409,0.2440000000000282,1.3680000000000003,0.7664628028869629,0.9722169637680054
manual_ground_truth_w0133_c31_i000,m3_improved_prediction_w0133_c31_i005,133,31,C6,665.0,667.088,665.924,666.656,2.088,0.7319999999999999,0.7319999999999709,2.0879999999999654,0.35057471264367,0.5191489361701922,0.9239999999999782,0.43200000000001637,0.2459999999999809,1.3560000000000003,0.7637761235237122,0.961050271987915
manual_ground_truth_w0133_c32_i000,m3_improved_prediction_w0133_c32_i002,133,32,T7,665.0,667.088,665.8,666.7,2.088,0.8999999999999999,0.900000000000091,2.0879999999999654,0.4310344827586714,0.6024096385542778,0.7999999999999545,0.38799999999991996,0.20600000000001728,1.1880000000000002,0.7402878403663635,0.9758642315864563
manual_ground_truth_w0133_c33_i000,m3_improved_prediction_w0133_c33_i004,133,33,T8,665.0,667.088,666.184,666.676,2.088,0.492,0.4920000000000755,2.0879999999999654,0.23563218390808602,0.38139534883726783,1.183999999999969,0.4119999999999209,0.38600000000008095,1.596,0.7781925797462463,0.9558388590812683
manual_ground_truth_w0133_c34_i000,m3_improved_prediction_w0133_c34_i010,133,34,CP1,665.0,667.088,666.356,666.644,2.088,0.2879999999999998,0.2880000000000109,2.0879999999999654,0.13793103448276614,0.24242424242425162,1.3559999999999945,0.44399999999996,0.4560000000000173,1.8000000000000003,0.7967809438705444,0.9299631714820862
manual_ground_truth_w0133_c35_i000,m3_improved_prediction_w0133_c35_i011,133,35,CP2,665.0,667.088,666.332,666.644,2.088,0.31199999999999983,0.3120000000000118,2.0879999999999654,0.14942528735632998,0.2600000000000099,1.3319999999999936,0.44399999999996,0.44400000000007367,1.7760000000000002,0.8163344860076904,0.9269936084747314
manual_ground_truth_w0133_c36_i000,m3_improved_prediction_w0133_c36_i003,133,36,CP3,665.0,667.088,666.072,666.644,2.088,0.5719999999999998,0.5720000000000027,2.0879999999999654,0.27394636015326257,0.43007518796992683,1.0720000000000027,0.44399999999996,0.31399999999996453,1.5160000000000002,0.743743896484375,0.9385168552398682
manual_ground_truth_w0133_c37_i000,m3_improved_prediction_w0133_c37_i004,133,37,CP4,665.0,667.088,666.112,666.652,2.088,0.5399999999999998,0.5400000000000773,2.0879999999999654,0.25862068965521373,0.41095890410964786,1.1119999999999663,0.4359999999999218,0.3380000000000791,1.5480000000000003,0.8277637362480164,0.9616241455078125
manual_ground_truth_w0133_c38_i000,m3_improved_prediction_w0133_c38_i002,133,38,CP5,665.0,667.088,665.96,666.656,2.088,0.696,0.6959999999999127,2.0879999999999654,0.333333333333297,0.49999999999993733,0.9600000000000364,0.43200000000001637,0.26400000000001,1.3920000000000001,0.8044202923774719,0.9775334000587463
manual_ground_truth_w0133_c39_i000,m3_improved_prediction_w0133_c39_i001,133,39,CP6,665.0,667.088,665.924,666.648,2.088,0.7239999999999999,0.7240000000000464,2.0879999999999654,0.34674329501918505,0.5149359886202322,0.9239999999999782,0.4399999999999409,0.2420000000000755,1.3640000000000003,0.8167087435722351,0.9884504079818726
manual_ground_truth_w0133_c40_i000,m3_improved_prediction_w0133_c40_i001,133,40,TP7,665.0,667.088,665.892,666.644,2.088,0.7519999999999999,0.7519999999999527,2.0879999999999654,0.3601532567049642,0.5295774647886992,0.8920000000000528,0.44399999999996,0.22400000000004638,1.3360000000000003,0.8155995607376099,0.988853931427002
manual_ground_truth_w0133_c41_i000,m3_improved_prediction_w0133_c41_i001,133,41,TP8,665.0,667.088,665.9,666.64,2.088,0.7399999999999999,0.7400000000000091,2.0879999999999654,0.35440613026820944,0.5233380480905298,0.8999999999999773,0.4479999999999791,0.2259999999999991,1.3480000000000003,0.8018068075180054,0.9791578650474548
manual_ground_truth_w0133_c42_i000,m3_improved_prediction_w0133_c42_i003,133,42,Pz,665.0,667.088,665.964,666.64,2.088,0.6759999999999999,0.6759999999999309,2.0879999999999654,0.3237547892720029,0.48914616497824226,0.9640000000000555,0.4479999999999791,0.2580000000000382,1.4120000000000001,0.7516554594039917,0.9527525305747986
manual_ground_truth_w0133_c43_i000,m3_improved_prediction_w0133_c43_i008,133,43,P3,665.0,667.088,666.288,666.652,2.088,0.3639999999999999,0.36400000000003274,2.0879999999999654,0.17432950191572738,0.2969004893964378,1.288000000000011,0.4359999999999218,0.42600000000004457,1.7240000000000002,0.8477410078048706,0.9510281085968018
manual_ground_truth_w0133_c44_i000,m3_improved_prediction_w0133_c44_i003,133,44,P4,665.0,667.088,666.208,666.644,2.088,0.43599999999999994,0.43600000000003547,2.0879999999999654,0.2088122605364189,0.3454833597464623,1.20799999999997,0.44399999999996,0.38199999999994816,1.6520000000000001,0.8106806874275208,0.9639235138893127
